name,rank,industry,market_value_mil,revenue_mil,profit_mil,asset_mil,employees
FedEx,41,"Mail, Package, and Freight Delivery",57431,93512,3826,85994,464400
Humana,42,Health Care: Insurance and Managed Care,60719,92870,2806,43055,67100
Energy Transfer,43,Pipelines,38590,89876,4756,105643,12565
State Farm Insurance,44,Insurance: Property and Casualty (Mutual),,89328,6654,318243,60519
Freddie Mac,45,Diversified Financials,266,86717,9327,3208333,7819
PepsiCo,46,Food Consumer Products,251085,86392,8910,92187,315000
Wells Fargo,47,Commercial Banks,141188,82859,13182,1881016,238000
Walt Disney,48,Entertainment,182920,82722,3145,203631,195800
ConocoPhillips,49,"Mining, Crude-Oil Production",120777,82156,18680,93829,9500
Tesla,50,Motor Vehicles & Parts,656425,81462,12556,82338,127855
Procter & Gamble,51,Household and Personal Products,350781,80187,14742,117208,106000
General Electric,52,Industrial Machinery,104231,76555,225,187788,172000
Albertsons,53,Food & Drug Stores,11132,71887,1620,28123,195750
MetLife,54,"Insurance: Life, Health (Stock)",44867,69898,2539,666611,45000
Goldman Sachs Group,55,Commercial Banks,113964,68711,11261,1441799,48500
Sysco,56,Wholesalers: Food and Grocery,39202,68636,1359,22086,70510
Raytheon Technologies,57,Aerospace & Defense,143292,67074,5197,158864,182000
Boeing,58,Aerospace & Defense,127283,66608,4935,137100,156000
StoneX Group,59,Diversified Financials,2138,66036,207,19860,3615
Lockheed Martin,60,Aerospace & Defense,120319,65984,5732,52880,116000
Morgan Stanley,61,Commercial Banks,147674,65936,11029,1180231,82427
Intel,62,Semiconductors and Other Electronic Components,136268,63054,8014,182103,131900
HP,63,"Computers, Office Equipment",28919,62983,3203,38587,58000
TD Synnex,64,Wholesalers: Electronics and Office Equipment,9061,62344,651,29734,28500
IBM,65,Information Technology Services,118913,60530,1639,127243,303100
HCA Healthcare,66,Health Care: Medical Facilities,73107,60233,5643,52438,250500
Prudential Financial,67,"Insurance: Life, Health (Stock)",30363,60050,1438,689917,39583
Caterpillar,68,Construction and Farm Machinery,118161,59427,6705,81943,109100
Merck,69,Pharmaceuticals,270081,59283,14519,109160,68000
World Fuel Services,70,Energy,1585,59043,114,8165,5214
New York Life Insurance,71,"Insurance: Life, Health (Mutual)",,58445,1127,392126,15050
Enterprise Products Partners,72,Pipelines,56224,58186,5490,68108,7300
AbbVie,73,Pharmaceuticals,281151,58054,11836,138805,50000
Plains GP Holdings,74,Pipelines,2551,57342,168,29207,4100
Dow,75,Chemicals,38812,56902,4582,60603,37800
AIG,76,Insurance: Property and Casualty (Stock),36948,56437,10276,526634,26200
American Express,77,Diversified Financials,122734,55625,7514,228354,77300
Publix Super Markets,78,Food & Drug Stores,,54942,2918,31047,242000
Charter Communications,79,Telecommunications,60477,54022,5055,144523,101700
Tyson Foods,80,Food Production,21096,53282,3238,36821,142000
Deere,81,Construction and Farm Machinery,122346,52577,7131,90030,82239
Cisco Systems,82,Network and Other Communications Equipment,214109,51557,11812,94002,83300
Nationwide,83,Insurance: Property and Casualty (Mutual),,51450,988,264511,24791
Allstate,84,Insurance: Property and Casualty (Stock),29180,51412,1311,97957,54250
Delta Air Lines,85,Airlines,22392,50582,1318,72288,95000
Liberty Mutual Insurance Group,86,Insurance: Property and Casualty (Stock),,49956,414,160316,50000
TJX,87,Specialty Retailers: Apparel,90315,49936,3498,28349,329000
Progressive,88,Insurance: Property and Casualty (Stock),83743,49611,722,75465,55063
American Airlines Group,89,Airlines,9629,48971,127,64716,129700
CHS,90,Food Production,,47792,1679,18825,10014
Performance Food Group,91,Wholesalers: Food and Grocery,9422,47194,113,12378,34825
PBF Energy,92,Petroleum Refining,5589,46830,2877,13549,3616
Nike,93,Apparel,190161,46710,6046,40321,79100
Best Buy,94,Specialty Retailers: Other,17066,46298,1419,15803,71100
Bristol-Myers Squibb,95,Pharmaceuticals,145780,46159,6327,96820,34300
United Airlines Holdings,96,Airlines,14474,44955,737,67358,92795
Thermo Fisher Scientific,97,"Scientific, Photographic and Control Equipment",222150,44915,6950,97154,130000
Qualcomm,98,Semiconductors and Other Electronic Components,142252,44200,12936,49014,51000
Abbott Laboratories,99,Medical Products and Equipment,175984,43653,6933,74438,115000
Coca-Cola,100,Beverages,268361,43004,9542,92763,82500
Oracle,101,Computer Software,250866,42440,6717,109297,143000
Nucor,102,Metals,38917,41513,7607,32479,31400
TIAA,103,"Insurance: Life, Health (Mutual)",,40911,494,634457,16070
Massachusetts Mutual Life Insurance,104,"Insurance: Life, Health (Mutual)",,40281,1485,381336,10662
General Dynamics,105,Aerospace & Defense,62692,39407,3390,51585,106500
Capital One Financial,106,Commercial Banks,36776,38373,7360,455249,55943
HF Sinclair,107,Petroleum Refining,9492,38205,2923,18126,5223
Dollar General,108,Specialty Retailers: Other,46114,37845,2416,29083,170000
Arrow Electronics,109,Wholesalers: Electronics and Office Equipment,7278,37124,1427,21763,22300
Occidental Petroleum,110,"Mining, Crude-Oil Production",56069,37095,13304,72609,11973
Northwestern Mutual,111,"Insurance: Life, Health (Mutual)",,36921,912,340390,8323
Travelers,112,Insurance: Property and Casualty (Stock),39783,36884,2842,115717,32175
Northrop Grumman,113,Aerospace & Defense,70203,36602,4896,43755,95000
USAA,114,Insurance: Property and Casualty (Stock),,36297,1296,204005,36820
Honeywell International,115,"Electronics, Electrical Equipment",127695,35466,4966,62275,97000
3M,116,Chemicals,57965,34229,5777,46455,92000
US Foods Holding,117,Wholesalers: Food and Grocery,8568,34057,265,12773,29000
Warner Bros. Discovery,118,Entertainment,36778,33817,7371,134001,37500
Lennar,119,Homebuilders,29726,33671,4614,37984,12012
D.R. Horton,120,Homebuilders,33546,33480,5858,30351,13237
Jabil,121,Semiconductors and Other Electronic Components,11750,33478,996,19717,250000
Cheniere Energy,122,Pipelines,38408,33428,1428,41266,1551
Broadcom,123,Semiconductors and Other Electronic Components,267473,33203,11495,73249,20000
CarMax,124,"Automotive Retailing, Services",10158,33197,1151,26338,32647
Starbucks,125,Food Services,119677,32250,3282,27978,402000
Molina Healthcare,126,Health Care: Insurance and Managed Care,15586,31974,792,12314,15000
Uber Technologies,127,Internet Services and Retailing,63840,31877,9141,32109,32800
Philip Morris International,128,Tobacco,150946,31762,9048,61681,79800
Netflix,129,Entertainment,153858,31616,4492,48595,12800
NRG Energy,130,Energy,7965,31543,1221,29146,6603
Mondelez International,131,Food Consumer Products,95050,31496,2717,71161,91000
Danaher,132,Medical Products and Equipment,183764,31471,7209,84350,80000
Salesforce,133,Computer Software,199780,31352,208,98849,79390
Paramount Global,134,Entertainment,14657,31331,1104,58393,27400
CBRE Group,135,Real Estate,22563,30828,1407,20513,115000
Micron Technology,136,Semiconductors and Other Electronic Components,66036,30758,8687,66283,48000
Visa,137,Financial Data Services,475307,29310,14957,85501,26500
Southern,138,Utilities: Gas and Electric,75948,29279,3524,134891,27562
United Natural Foods,139,Wholesalers: Food and Grocery,1565,28928,248,7628,30300
Paccar,140,Motor Vehicles & Parts,38251,28820,3012,33276,31100
Duke Energy,141,Utilities: Gas and Electric,74344,28784,2550,178086,27859
Eli Lilly,142,Pharmaceuticals,326351,28541,6245,49490,39000
Hewlett Packard Enterprise,143,"Computers, Office Equipment",20643,28496,868,57123,60200
Dollar Tree,144,Specialty Retailers: Other,31757,28332,1615,23022,136287
Lithia Motors,145,"Automotive Retailing, Services",6337,28188,1251,15007,21875
Cummins,146,Industrial Machinery,33811,28074,2151,30299,73600
Penske Automotive Group,147,"Automotive Retailing, Services",9795,27815,1380,14115,26816
PayPal Holdings,148,Financial Data Services,85917,27518,2419,78717,29900
U.S. Bancorp,149,Commercial Banks,55221,27401,5825,674805,76646
Gilead Sciences,150,Pharmaceuticals,103614,27281,4592,63171,17000
AutoNation,151,"Automotive Retailing, Services",6301,26985,1377,10060,23600
Nvidia,152,Semiconductors and Other Electronic Components,686092,26974,4368,41182,26196
Kraft Heinz,153,Food Consumer Products,47448,26485,2363,90513,37000
Amgen,154,Pharmaceuticals,129089,26323,6552,65121,25200
Applied Materials,155,Semiconductors and Other Electronic Components,103806,25785,6525,26726,33000
EOG Resources,156,"Mining, Crude-Oil Production",67371,25702,7759,41371,2850
Truist Financial,157,Commercial Banks,45290,25356,6260,555255,53987
Macy's,158,General Merchandisers,4747,25305,1177,16866,94570
Union Pacific,159,Railroads,123146,24875,6998,65449,33179
C.H. Robinson Worldwide,160,Transportation and Logistics,11417,24697,941,5955,17399
Rite Aid,161,Food & Drug Stores,127,24568,539,8529,53000
Constellation Energy,162,Energy,25712,24440,160,46909,13370
Avnet,163,Wholesalers: Electronics and Office Equipment,4130,24311,692,10389,15300
Pioneer Natural Resources,164,"Mining, Crude-Oil Production",47997,24294,7845,35740,2076
Southwest Airlines,165,Airlines,19338,23814,539,35369,66656
CDW,166,Information Technology Services,26337,23749,1115,13132,15100
Advanced Micro Devices,167,Semiconductors and Other Electronic Components,157738,23601,1320,67580,25000
